Gamma	GammaRot	J	Ka	Kc	GammaVib	v1	v2	v3	v4	v5	v6	Tag	Obs	Uncertainty	Source
3	3	3	1	3	1	0	0	0	2	0	0	3-1-3-0-0-0-2-0-0	1881.957734291	0.000403407	Marvel
4	4	3	1	2	1	0	0	0	2	0	0	3-1-2-0-0-0-2-0-0	1882.994999645	0.004006747	Marvel
1	1	3	2	2	1	0	0	0	2	0	0	3-2-2-0-0-0-2-0-0	1891.816243993	0.000406706	Marvel
2	2	3	2	1	1	0	0	0	2	0	0	3-2-1-0-0-0-2-0-0	1891.85255813	0.000408371	Marvel
3	3	3	3	1	1	0	0	0	2	0	0	3-3-1-0-0-0-2-0-0	1907.43201	0.0026	05LoUlBe
4	4	3	3	0	1	0	0	0	2	0	0	3-3-0-0-0-0-2-0-0	1907.43201	0.0026	05LoUlBe
3	3	3	3	1	1	0	0	0	2	0	0	3-3-1-0-0-0-2-0-0	1907.432412312	0.000409747	Marvel
4	4	3	3	0	1	0	0	0	2	0	0	3-3-0-0-0-0-2-0-0	1907.433879312	0.00040978	Marvel
4	3	3	1	3	2	0	0	0	1	0	1	3-1-3-0-0-0-1-0-1	1945.3328	0.0026	05LoUlBe
2	1	3	2	2	2	0	0	0	1	0	1	3-2-2-0-0-0-1-0-1	1954.50261	0.0026	05LoUlBe
1	2	3	2	1	2	0	0	0	1	0	1	3-2-1-0-0-0-1-0-1	1954.54381	0.0026	05LoUlBe
4	3	3	3	1	2	0	0	0	1	0	1	3-3-1-0-0-0-1-0-1	1971.23616	0.0026	05LoUlBe
3	4	3	3	0	2	0	0	0	1	0	1	3-3-0-0-0-0-1-0-1	1971.23616	0.0026	05LoUlBe
2	2	3	0	3	1	0	0	0	0	0	2	3-0-3-0-0-0-0-0-2	1985.95149	0.0026	05LoUlBe
3	3	3	1	3	1	0	0	0	0	0	2	3-1-3-0-0-0-0-0-2	1990.30478	0.0026	05LoUlBe
4	4	3	1	2	1	0	0	0	0	0	2	3-1-2-0-0-0-0-0-2	1991.56197	0.0026	05LoUlBe
2	2	3	2	1	1	0	0	0	0	0	2	3-2-1-0-0-0-0-0-2	2005.55547	0.0026	05LoUlBe
1	1	3	2	2	1	0	0	0	0	0	2	3-2-2-0-0-0-0-0-2	2005.58838	0.0026	05LoUlBe
3	3	3	3	1	1	0	0	0	0	0	2	3-3-1-0-0-0-0-0-2	2029.32009	0.0026	05LoUlBe
4	4	3	3	0	1	0	0	0	0	0	2	3-3-0-0-0-0-0-0-2	2029.32155	0.0026	05LoUlBe
2	2	3	0	3	1	1	0	0	0	0	0	3-0-3-1-0-0-0-0-0	2072.59573	0.0026	05LoUlBe
3	3	3	1	3	1	1	0	0	0	0	0	3-1-3-1-0-0-0-0-0	2075.62294	0.0026	05LoUlBe
4	4	3	1	2	1	1	0	0	0	0	0	3-1-2-1-0-0-0-0-0	2077.03475	0.0026	05LoUlBe
3	2	3	0	3	4	0	0	1	0	0	1	3-0-3-0-0-1-0-0-1	2084.49782	0.0026	05LoUlBe
1	1	3	2	2	1	1	0	0	0	0	0	3-2-2-1-0-0-0-0-0	2087.35676	0.0026	05LoUlBe
2	2	3	2	1	1	1	0	0	0	0	0	3-2-1-1-0-0-0-0-0	2087.36135	0.0026	05LoUlBe
2	3	3	1	3	4	0	0	1	0	0	1	3-1-3-0-0-1-0-0-1	2088.38933	0.0026	05LoUlBe
1	4	3	1	2	4	0	0	1	0	0	1	3-1-2-0-0-1-0-0-1	2089.59045	0.0026	05LoUlBe
4	1	3	2	2	4	0	0	1	0	0	1	3-2-2-0-0-1-0-0-1	2101.96026	0.0026	05LoUlBe
3	2	3	2	1	4	0	0	1	0	0	1	3-2-1-0-0-1-0-0-1	2101.9974	0.0026	05LoUlBe
3	3	3	3	1	1	1	0	0	0	0	0	3-3-1-1-0-0-0-0-0	2105.83509	0.0026	05LoUlBe
4	4	3	3	0	1	1	0	0	0	0	0	3-3-0-1-0-0-0-0-0	2105.83509	0.0026	05LoUlBe
1	4	3	3	0	4	0	0	1	0	0	1	3-3-0-0-0-1-0-0-1	2123.40809	0.0026	05LoUlBe
2	3	3	3	1	4	0	0	1	0	0	1	3-3-1-0-0-1-0-0-1	2123.40813	0.0026	05LoUlBe
3	2	3	0	3	4	0	0	0	0	1	0	3-0-3-0-0-0-0-1-0	2174.53783	0.0026	05LoUlBe
2	3	3	1	3	4	0	0	0	0	1	0	3-1-3-0-0-0-0-1-0	2177.69161	0.0026	05LoUlBe
1	4	3	1	2	4	0	0	0	0	1	0	3-1-2-0-0-0-0-1-0	2178.94365	0.0026	05LoUlBe
4	1	3	2	2	4	0	0	0	0	1	0	3-2-2-0-0-0-0-1-0	2189.5481	0.0026	05LoUlBe
3	2	3	2	1	4	0	0	0	0	1	0	3-2-1-0-0-0-0-1-0	2189.5912	0.0026	05LoUlBe
2	3	3	3	1	4	0	0	0	0	1	0	3-3-1-0-0-0-0-1-0	2208.26022	0.0028	05LoUlBe
1	4	3	3	0	4	0	0	0	0	1	0	3-3-0-0-0-0-0-1-0	2208.26031	0.0028	05LoUlBe
2	2	3	0	3	1	0	0	2	0	0	0	3-0-3-0-0-2-0-0-0	2213.58554	0.0028	05LoUlBe
4	4	3	1	2	1	0	0	2	0	0	0	3-1-2-0-0-2-0-0-0	2218.09959	0.0028	05LoUlBe
1	1	3	2	2	1	0	0	2	0	0	0	3-2-2-0-0-2-0-0-0	2228.76649	0.0028	05LoUlBe
2	2	3	2	1	1	0	0	2	0	0	0	3-2-1-0-0-2-0-0-0	2228.818	0.0028	05LoUlBe
1	1	4	0	4	1	0	0	0	0	0	0	4-0-4-0-0-0-0-0-0	19.379420059	1.1373E-05	Marvel
4	4	4	1	4	1	0	0	0	0	0	0	4-1-4-0-0-0-0-0-0	22.214245027	1.6778E-05	Marvel
3	3	4	1	3	1	0	0	0	0	0	0	4-1-3-0-0-0-0-0-0	24.245930736	1.0078E-05	Marvel
2	2	4	2	3	1	0	0	0	0	0	0	4-2-3-0-0-0-0-0-0	34.491563866	9.707E-06	Marvel
1	1	4	2	2	1	0	0	0	0	0	0	4-2-2-0-0-0-0-0-0	34.61455713	8.371E-06	Marvel
4	4	4	3	2	1	0	0	0	0	0	0	4-3-2-0-0-0-0-0-0	53.256588312	9.747E-06	Marvel
3	3	4	3	1	1	0	0	0	0	0	0	4-3-1-0-0-0-0-0-0	53.258055312	9.78E-06	Marvel
2	2	4	4	1	1	0	0	0	0	0	0	4-4-1-0-0-0-0-0-0	79.4623309	1.0775E-05	Marvel
1	1	4	4	0	1	0	0	0	0	0	0	4-4-0-0-0-0-0-0-0	79.4623359	1.0708E-05	Marvel
3	1	4	0	4	3	0	0	0	1	0	0	4-0-4-0-0-0-1-0-0	957.302304426	0.00050871	Marvel
2	4	4	1	4	3	0	0	0	1	0	0	4-1-4-0-0-0-1-0-0	959.763377741	4.6443E-05	Marvel
1	3	4	1	3	3	0	0	0	1	0	0	4-1-3-0-0-0-1-0-0	961.60880174	4.8111E-05	Marvel
3	1	4	2	2	3	0	0	0	1	0	0	4-2-2-0-0-0-1-0-0	970.727117312	4.4815E-05	Marvel
4	1	4	0	4	4	0	0	0	0	0	1	4-0-4-0-0-0-0-0-1	1008.606964685	4.1815E-05	Marvel
1	4	4	1	4	4	0	0	0	0	0	1	4-1-4-0-0-0-0-0-1	1011.859398768	6.0117E-05	Marvel
2	3	4	1	3	4	0	0	0	0	0	1	4-1-3-0-0-0-0-0-1	1013.95696677	6.1785E-05	Marvel
3	2	4	2	3	4	0	0	0	0	0	1	4-2-3-0-0-0-0-0-1	1025.489382915	7.648E-05	Marvel
4	1	4	2	2	4	0	0	0	0	0	1	4-2-2-0-0-0-0-0-1	1025.606806603	9.983E-05	Marvel
1	1	4	0	4	1	0	1	0	0	0	0	4-0-4-0-1-0-0-0-0	1720.865572957	0.000415051	Marvel
4	4	4	1	4	1	0	1	0	0	0	0	4-1-4-0-1-0-0-0-0	1723.712741449	0.000341413	Marvel
3	3	4	1	3	1	0	1	0	0	0	0	4-1-3-0-1-0-0-0-0	1725.733446704	0.000411744	Marvel
2	2	4	2	3	1	0	1	0	0	0	0	4-2-3-0-1-0-0-0-0	1736.008606667	0.010008371	Marvel
